iter	Passed	Remaining
388	30949	48611
389	30954	48415
390	31035	48338
391	31198	48390
392	31370	48452
393	31542	48514
394	31543	48312
395	31543	48111
396	31566	47945
397	31586	47776
398	31776	47863
399	31787	47681
400	31967	47751
401	31967	47554
402	31972	47364
403	32013	47227
404	32175	47269
405	32176	47075
406	32256	46998
407	32257	46804
408	32297	46669
409	32297	46477
410	32378	46401
411	32381	46215
412	32382	46025
413	32564	46093
414	32734	46143
415	32754	45982
416	32756	45796
417	32761	45615
418	32769	45439
419	32848	45361
420	33015	45406
421	33017	45222
422	33056	45091
423	33059	44911
424	33138	44834
425	33179	44706
426	33189	44537
427	33364	44589
428	33538	44640
429	33562	44489
430	33563	44309
431	33563	44130
432	33574	43964
433	33749	44014
434	33751	43838
435	33945	43911
436	33956	43747
437	33956	43570
438	33961	43400
439	34127	43434
440	34128	43260
441	34134	43093
442	34145	42931
443	34165	42783
444	34185	42635
445	34361	42682
446	34382	42536
447	34467	42468
448	34472	42303
449	34472	42133
450	34656	42186
451	34739	42118
452	34915	42160
453	35088	42199
454	35094	42035
455	35094	41867
456	35099	41704
457	35109	41549
458	35275	41577
459	35446	41611
460	35616	41642
461	35696	41569
462	35855	41586
463	35856	41420
464	35856	41254
465	35858	41090
466	36022	41113
467	36186	41135
468	36187	40971
469	36207	40829
470	36382	40862
471	36423	40744
472	36605	40784
473	36775	40809
474	36776	40647
475	36815	40528
476	36821	40372
477	36993	40398
478	37174	40434
479	37198	40298
480	37221	40161
481	37411	40205
482	37423	40058
483	37625	40112
484	37636	39964
485	37636	39805
486	37822	39841
487	38011	39880
488	38086	39800
489	38101	39656
490	38125	39522
491	38522	39774
492	38639	39736
493	38640	39578
494	39007	39795
495	39215	39847
496	39216	39689
497	39273	39588
498	39392	39550
499	39774	39774
500	39775	39617
501	39778	39461
502	39779	39305
503	39892	39259
504	39895	39105
505	40111	39160
506	40136	39028
507	40255	38987
508	40269	38845
509	40270	38691
510	40272	38538
511	40299	38410
512	40325	38281
513	40396	38195
514	40407	38053
515	40433	37925
516	40634	37961
517	40647	37822
518	40856	37864
519	41051	37893
520	41057	37748
521	41267	37789
522	41281	37650
523	41285	37503
524	41314	37379
525	41517	37412
526	41748	37470
527	41751	37323
528	41755	37177
529	41757	37030
530	41769	36892
531	41792	36765
532	42003	36802
533	42017	36666
534	42018	36520
535	42033	36386
536	42033	36241
537	42057	36115
538	42068	35980
539	42069	35837
540	42281	35872
541	42307	35750
542	42424	35705
543	42446	35579
544	42692	35642
545	42716	35519
546	42725	35383
547	42922	35403
548	43127	35428
549	43127	35286
550	43138	35152
551	43329	35165
552	43374	35060
553	43375	34919
554	43592	34952
555	43593	34812
556	43783	34822
557	43784	34682
558	43785	34542
559	43970	34548
560	43971	34408
561	43971	34269
562	43974	34132
563	43979	33998
564	43980	33860
565	44182	33878
566	44370	33884
567	44432	33793
568	44486	33697
569	44490	33562
570	44504	33436
571	44510	33304
572	44511	33170
573	44535	33052
574	44713	33049
575	44889	33043
576	44976	32972
577	45170	32978
578	45368	32988
579	45404	32878
580	45681	32944
581	45926	32984
582	46168	33022
583	46174	32891
584	46177	32758
585	46224	32656
586	46224	32522
587	46225	32389
588	46440	32405
589	46680	32439
590	46787	32379
591	47108	32466
592	47403	32534
593	47643	32564
594	47644	32430
595	47653	32302
596	47665	32176
597	47677	32050
598	47680	31919
599	47873	31915
600	47874	31783
601	48057	31772
602	48058	31640
603	48255	31637
604	48445	31629
605	48502	31534
606	48593	31461
607	48614	31343
608	48640	31229
609	48710	31143
610	48922	31146
611	49025	31081
612	49037	30958
613	49169	30911
614	49178	30786
615	49187	30662
616	49233	30561
617	49426	30551
618	49450	30437
619	49673	30444
620	49909	30460
621	50051	30417
622	50060	30293
623	50066	30168
624	50071	30043
625	50083	29922
626	50086	29796
627	50277	29782
628	50555	29818
629	50790	29829
630	50796	29705
631	51026	29711
632	51027	29584
633	51031	29459
634	51262	29465
635	51281	29349
636	51282	29223
637	51285	29099
638	51285	28973
639	51286	28848
640	51316	28740
641	51318	28616
642	51319	28493
643	51322	28370
644	51323	28247
645	51355	28141
646	51355	28019
647	51570	28013
648	51571	27891
649	51776	27879
650	51789	27764
651	51813	27655
652	51829	27541
653	51829	27420
654	52026	27403
655	52220	27383
656	52245	27275
657	52265	27165
658	52431	27130
659	52614	27104
660	52635	26994
661	52641	26877
662	52815	26845
663	52817	26726
664	52827	26612
665	52829	26494
666	52841	26381
667	52856	26269
668	52857	26152
669	52878	26044
670	52888	25932
671	52891	25816
672	52893	25699
673	52979	25625
674	52980	25509
675	52981	25393
676	52991	25282
677	53155	25244
678	53157	25130
679	53158	25015
680	53199	24920
681	53374	24887
682	53381	24775
683	53555	24742
684	53557	24628
685	53557	24514
686	53568	24406
687	53570	24293
688	53731	24253
689	53752	24149
690	53934	24118
691	53935	24005
692	53936	23893
693	54111	23859
694	54117	23749
695	54298	23716
696	54472	23680
697	54478	23570
698	54484	23461
699	54485	23350
700	54507	23249
701	54683	23213
702	54694	23107
703	54716	23005
704	54719	22896
705	54720	22787
706	54725	22679
707	54897	22641
708	54918	22540
709	54958	22447
710	55041	22372
711	55220	22336
712	55383	22293
713	55403	22192
714	55444	22100
715	55449	21993
716	55460	21890
717	55462	21783
718	55659	21752
719	55832	21712
720	55833	21605
721	55836	21499
722	55857	21400
723	55898	21309
724	55978	21233
725	56060	21157
726	56071	21055
727	56073	20950
728	56076	20846
729	56079	20741
730	56080	20636
731	56105	20541
732	56115	20440
733	56117	20336
734	56137	20239
735	56142	20138
736	56183	20049
737	56193	19949
738	56233	19860
739	56277	19773
740	56445	19729
741	56616	19686
742	56627	19587
743	56628	19485
